genes	chr	pos1	pos2	label	H1_rep1	H1_rep2	H1_rep3	H1_rep4	DEC_rep1	DEC_rep2	mean_H1	mean_DEC
MAN1C1	chr1	25785000	25790000	5	105.50645896152184	93.35110365068957	96.27270170674464	97.17246400590723	376.32392133208396	562.7491411145377	98.07568208121582	469.5365312233108
MAN1C1	chr1	25750000	25755000	5	105.50645896152184	93.35110365068957	96.27270170674464	97.17246400590723	376.32392133208396	562.7491411145377	98.07568208121582	469.5365312233108
MANBAL	chr20	37290000	37295000	5	672.6036758797018	673.7514437397595	687.8614774119582	688.7812889830483	758.4448735447648	860.7747644931494	680.7494715036169	809.6098190189571
MAP2K6	chr17	69425000	69430000	5	373.22909857638354	285.46496913471736	337.6520842468435	347.2486581387567	155.07057605596785	137.15951985038382	335.8987025241753	146.11504795317583
MAP2K6	chr17	69500000	69505000	5	373.22909857638354	285.46496913471736	337.6520842468435	347.2486581387567	155.07057605596785	137.15951985038382	335.8987025241753	146.11504795317583
MAP3K20	chr2	173080000	173085000	5	NA	NA	NA	NA	NA	NA	NA	NA
MAP4	chr3	47980000	47985000	5	3596.451419850876	3656.928016924839	3587.204580986094	3642.5383933979047	6873.346280761092	7471.524955800537	3620.7806027899283	7172.435618280815
MAPK6	chr15	51980000	51985000	5	2422.6920639039454	2492.0685931097128	2461.232547981124	2626.5145418067277	2451.6609765857847	2126.254778915209	2500.6269367003774	2288.9578777504967
MASP1	chr3	187215000	187220000	5	64.62270611393213	48.70492364383803	59.99603149840608	51.444245650186176	48.79167657835748	5.644424685200979	56.1919767265906	27.21805063177923
MAST1	chr19	12850000	12855000	5	139.79605812401644	140.70311274886544	147.89719392630337	120.03657318376774	57.48722289925288	98.21298952249705	137.10823449573826	77.85010621087497
MATN2	chr8	97905000	97910000	5	329.70768425475575	257.0537636758118	255.3319480048445	245.78917366200062	165.21538009701248	121.35513073182106	271.97064239935315	143.28525541441678
MATN2	chr8	98010000	98015000	5	329.70768425475575	257.0537636758118	255.3319480048445	245.78917366200062	165.21538009701248	121.35513073182106	271.97064239935315	143.28525541441678
MEAK7	chr16	84510000	84515000	5	NA	NA	NA	NA	NA	NA	NA	NA
MED27	chr9	131885000	131890000	5	427.3011587941635	344.9932091438527	401.8338853846733	371.5417741402335	538.640785988798	569.5224507367789	386.41750686573073	554.0816183627885
MEGF10	chr5	127365000	127370000	5	357.40312973215526	339.5815509612041	344.6283669792163	378.6868082583149	99.51569678358061	47.97760982420833	355.07496398272264	73.74665330389448
METTL22	chr16	8635000	8640000	5	387.7362366835928	359.8752691461366	440.901068685961	401.55091743617544	289.36845812313004	322.2966495249759	397.5158729879664	305.832553824053
MFHAS1	chr8	8855000	8860000	5	903.3990548580308	933.5110365068956	906.916755208464	797.3858075778858	1406.2630744514718	1042.525239356621	885.303163537819	1224.3941569040462
MFSD4A	chr1	205595000	205600000	5	NA	NA	NA	NA	NA	NA	NA	NA
MGAT5	chr2	134135000	134140000	5	970.6594224460009	930.8052074155713	992.0274045434122	924.5674148797349	1041.5332148805815	620.8867153721078	954.5148623211799	831.2099651263446
MGAT5B	chr17	76925000	76930000	5	145.07138107209252	135.29145456621674	156.26873320515074	144.32968918524455	31.400583936566697	22.577698740803918	145.24031450717615	26.989141338685307
MIAT	chr22	26645000	26650000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIATNB	chr22	26680000	26685000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIR1272	chr15	64760000	64765000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIR150	chr19	49500000	49505000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIR1915	chr10	21495000	21500000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIR1915HG	chr10	21495000	21500000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIR4316	chr17	77395000	77400000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIR4645	chr6	2850000	2855000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIR4687	chr11	3855000	3860000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIR521-1	chr19	53745000	53750000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIR548C	chr12	64620000	64625000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIR548Z	chr12	64620000	64625000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIR6794	chr19	12850000	12855000	5	NA	NA	NA	NA	NA	NA	NA	NA
MIR6823	chr3	48545000	48550000	5	NA	NA	NA	NA	NA	NA	NA	NA
MISP3	chr19	14075000	14080000	5	NA	NA	NA	NA	NA	NA	NA	NA
MMS19	chr10	97495000	97500000	5	2333.0115737866518	2387.894173093726	2408.212799215091	2472.181804856169	1721.7181715372878	1943.9398615832174	2400.3250877379096	1832.8290165602525
MMS19	chr10	97460000	97465000	5	2333.0115737866518	2387.894173093726	2408.212799215091	2472.181804856169	1721.7181715372878	1943.9398615832174	2400.3250877379096	1832.8290165602525
MORN1	chr1	2360000	2365000	5	60.66621390287506	66.29281273744621	69.762827323728	68.59232753358157	54.105621552238006	45.155397481607835	66.32854537440771	49.63050951692292
MRAS	chr3	138345000	138350000	5	228.15771750429099	227.28964367124414	216.2647647035568	235.78612589668666	258.4509600932798	206.02150100983576	226.87456294394465	232.23623055155775
MRPL38	chr17	75905000	75910000	5	851.9646561142889	734.6325982945569	817.6203362340922	748.7995755749321	673.4217539626766	846.663702780147	788.2542915544675	760.0427283714118
MSI2	chr17	57440000	57445000	5	444.4459583754108	480.2846637100695	456.24889069718114	487.2913268531524	507.24020205223127	359.5498524473024	467.0677099089535	433.3950272497668
MSI2	chr17	57505000	57510000	5	444.4459583754108	480.2846637100695	456.24889069718114	487.2913268531524	507.24020205223127	359.5498524473024	467.0677099089535	433.3950272497668
MSI2	chr17	57435000	57440000	5	444.4459583754108	480.2846637100695	456.24889069718114	487.2913268531524	507.24020205223127	359.5498524473024	467.0677099089535	433.3950272497668
MSRA	chr8	10370000	10375000	5	54.07206021777994	90.64527455936522	76.7391100561008	91.4564367114421	65.21659740671545	64.34644141129117	78.22822038617201	64.78151940900331
MXD1	chr2	69940000	69945000	5	43.52141432162776	44.64618000685153	57.205518405456964	45.72821835572105	170.52932507089298	170.4616254930696	47.77533277241432	170.49547528198127
MYC	chr8	127735000	127740000	5	1698.6539892805017	1754.7301657238313	1717.5608087101834	1611.919697039167	555.5487927238723	426.7185062011941	1695.7161651884207	491.1336494625332
MYO15B	chr17	75625000	75630000	5	NA	NA	NA	NA	NA	NA	NA	NA
NACC2	chr9	136085000	136090000	5	249.25900929659537	275.9945673150822	270.67977001606465	254.3632146036983	596.6110947947673	568.3935657997387	262.57414030786015	582.5023302972529
NACC2	chr9	136050000	136055000	5	249.25900929659537	275.9945673150822	270.67977001606465	254.3632146036983	596.6110947947673	568.3935657997387	262.57414030786015	582.5023302972529
NACC2	chr9	136055000	136060000	5	249.25900929659537	275.9945673150822	270.67977001606465	254.3632146036983	596.6110947947673	568.3935657997387	262.57414030786015	582.5023302972529
NAGPA-AS1	chr16	5010000	5015000	5	NA	NA	NA	NA	NA	NA	NA	NA
NANOS3	chr19	13860000	13865000	5	0	1.3529145456621676	0	2.8580136472325655	29.468240309701056	23.706583677844115	1.0527320482236833	26.587411993772584
NAV2	chr11	20055000	20060000	5	1546.988454523314	1527.440522052587	1466.4146303447626	1531.895314916655	699.0253070186463	288.99454388229015	1518.1847304593298	494.00992545046824
NAV2	chr11	20030000	20035000	5	1546.988454523314	1527.440522052587	1466.4146303447626	1531.895314916655	699.0253070186463	288.99454388229015	1518.1847304593298	494.00992545046824
NAV2	chr11	19815000	19820000	5	1546.988454523314	1527.440522052587	1466.4146303447626	1531.895314916655	699.0253070186463	288.99454388229015	1518.1847304593298	494.00992545046824
NAV2	chr11	19870000	19875000	5	1546.988454523314	1527.440522052587	1466.4146303447626	1531.895314916655	699.0253070186463	288.99454388229015	1518.1847304593298	494.00992545046824
NAV2	chr11	19860000	19865000	5	1546.988454523314	1527.440522052587	1466.4146303447626	1531.895314916655	699.0253070186463	288.99454388229015	1518.1847304593298	494.00992545046824
NCOA2	chr8	70110000	70115000	5	755.6900123119002	786.0433510297194	823.2013624199905	768.8056711055601	556.0318786305887	308.7500302804936	783.4350992167925	432.3909544555412
NCOR2	chr12	124485000	124490000	5	2067.926595645828	2143.0166403288736	2000.797887644519	1856.2798638775512	2773.8792763656306	2549.5866303052826	2017.0052468741928	2661.732953335457
NCOR2	chr12	124560000	124565000	5	2067.926595645828	2143.0166403288736	2000.797887644519	1856.2798638775512	2773.8792763656306	2549.5866303052826	2017.0052468741928	2661.732953335457
NCS1	chr9	130190000	130195000	5	884.9354245397644	856.394907404152	750.6480220033133	823.1079304029788	1272.4482782910259	1183.0714140181253	828.7715710875522	1227.7598461545756
NDUFA4L2	chr12	57230000	57235000	5	3.956492211057069	0	0	1.4290068236162827	1.4492577201492323	5.0799822166808815	1.346374758668338	3.2646199684150567
NFATC3	chr16	68090000	68095000	5	780.7477963152617	703.5155637443271	779.9484094792791	820.2499167557463	689.8466747910345	624.8378126517484	771.1154215736535	657.3422437213915
NFIA	chr1	61040000	61045000	5	17.144799581247298	18.940803639270346	18.13833510416928	17.148081883395392	31.400583936566697	9.595521964841666	17.84300505202058	20.49805295070418
NFIA	chr1	60920000	60925000	5	17.144799581247298	18.940803639270346	18.13833510416928	17.148081883395392	31.400583936566697	9.595521964841666	17.84300505202058	20.49805295070418
NFIA-AS2	chr1	60920000	60925000	5	NA	NA	NA	NA	NA	NA	NA	NA
NFIA-AS2	chr1	61040000	61045000	5	NA	NA	NA	NA	NA	NA	NA	NA
NIP7P2	chr3	132400000	132405000	5	NA	NA	NA	NA	NA	NA	NA	NA
NKD2	chr5	1035000	1040000	5	68.57919832498919	79.82195819406789	79.52962314904993	57.16027294465131	61.83499605970057	109.501838892899	71.27276315318957	85.6684174762998
NOS1	chr12	117340000	117345000	5	92.31815159133161	94.70401819635173	79.52962314904993	101.45948447675607	43.960817511193376	49.10649476124853	92.00281935337233	46.533656136220955
NOS1AP	chr1	162285000	162290000	5	232.11420971534807	262.4654218584605	284.63233548081024	234.35711907307035	39.61304435074568	32.73766317416568	253.3922715319223	36.175353762455686
NOTCH1	chr9	136540000	136545000	5	1159.2522178397212	1220.3289201872751	1089.6953627966313	1080.3291586539096	1518.339004809679	1641.963140924965	1137.4014148693843	1580.151072867322
NPEPL1	chr20	58690000	58695000	5	480.0543882749244	505.99004007765063	475.78248234782495	437.2760880265825	843.9510790335696	1148.0759809698793	474.77574968174565	996.0135300017245
NPFFR1	chr10	70265000	70270000	5	0	0	0	0	0	0	0	0
NRG4	chr15	76055000	76060000	5	13.18830737019023	4.058743636986502	1.39525654647456	5.716027294465131	10.627889947761036	6.773309622241175	6.089583712029106	8.700599785001106
NSMCE1	chr16	27260000	27265000	5	469.5037423787722	458.6380309794748	411.60068120999523	454.4241699099779	224.15186071641457	291.81675622489064	448.541656119555	257.9843084706526
NT5C2	chr10	103130000	103135000	5	1225.1937546906724	1285.2688183790592	1230.616273990562	1294.6801821963522	1575.8262277089318	1487.8703470189782	1258.9397573141614	1531.848287363955
NTM	chr11	131925000	131930000	5	240.0271941374622	212.4075836689603	238.58886944714976	238.6441395439192	58.4533947126857	21.448813803763723	232.4169466993729	39.95110425822471
NTM	chr11	131590000	131595000	5	240.0271941374622	212.4075836689603	238.58886944714976	238.6441395439192	58.4533947126857	21.448813803763723	232.4169466993729	39.95110425822471
NUMB	chr14	73280000	73285000	5	614.5751234508648	645.3402382808539	641.8180113782977	604.4698863896875	1360.852999220129	1174.0403345218037	626.550814874926	1267.4466668709665
NXNL2	chr9	88535000	88540000	5	14.507138107209254	35.17577818721636	16.74307855769472	20.00609553062796	31.400583936566697	31.608778237125488	21.608022595687075	31.50468108684609
OACYLP	chr18	59050000	59055000	5	NA	NA	NA	NA	NA	NA	NA	NA
OGFRP1	chr22	42275000	42280000	5	NA	NA	NA	NA	NA	NA	NA	NA
OLFML3	chr1	113995000	114000000	5	730.6322283085387	712.9859655639623	777.15789638633	727.3644732206878	195.16670631342993	125.30622801146176	737.0351408698797	160.23646716244585
OPCML	chr11	132965000	132970000	5	52.75322948076092	48.70492364383803	34.881413661864	60.01828659188387	3.8646872537312857	3.3866548111205876	49.089463344586704	3.6256710324259367
PALM2	chr9	109900000	109905000	5	94.95581306536965	101.46859092466256	115.80629335738848	110.03352541845376	33.33292756343234	25.964353551924507	105.56605569146862	29.648640557678426
PALM2-AKAP2	chr9	109900000	109905000	5	240.0271941374622	339.5815509612041	280.4465658413866	137.18465506716313	90.82015046268522	11.853291838922058	249.309991501804	51.33672115080364
PALM2-AKAP2	chr9	110085000	110090000	5	240.0271941374622	339.5815509612041	280.4465658413866	137.18465506716313	90.82015046268522	11.853291838922058	249.309991501804	51.33672115080364
PAPPA	chr9	116330000	116335000	5	22.420122529323393	22.99954727625685	18.13833510416928	12.861061412546544	330.91384610074135	36.12431798528627	19.104766580574015	183.5190820430138
PARD3	chr10	34630000	34635000	5	1045.8327744560852	1010.6271656096392	1015.7467658334797	1020.3108720620259	2290.3102837425035	2093.517115741043	1023.1293944903075	2191.9136997417736
PBX1	chr1	164670000	164675000	5	2426.6485561150025	2433.8932676462396	2466.813574167022	2542.2031392133667	810.6181514701373	554.2825040867363	2467.3896342854077	682.4503277784368
PCAT1	chr8	126695000	126700000	5	NA	NA	NA	NA	NA	NA	NA	NA
PCCA	chr13	100395000	100400000	5	604.0244775547126	573.635767360759	526.0117180209091	571.6027294465131	651.6828881604381	798.1216504874185	568.8186730957234	724.9022693239283
PCNT	chr21	46365000	46370000	5	817.6750569517943	744.1030001141921	817.6203362340922	831.6819713446765	986.9445074216271	916.6545688766391	802.7700911611888	951.7995381491331
PDE6A	chr5	149910000	149915000	5	54.07206021777994	54.1165818264867	27.9051309294912	62.87630023911644	47.342418858208255	60.39534413165048	49.742518303218574	53.86888149492937
PDILT	chr16	20380000	20385000	5	1.318830737019023	0	0	0	0	0	0.3297076842547558	0
PEAK1	chr15	77115000	77120000	5	481.37321901194343	560.1066219041373	569.2646709616205	540.1645793269548	435.7434878582025	256.25688070812447	537.727272801164	346.0001842831635
PEBP4	chr8	22940000	22945000	5	0	0	0	1.4290068236162827	0	0	0.3572517059040707	0
PEPD	chr19	33520000	33525000	5	1300.3671067007567	1519.323034778614	1364.5609024521198	1253.23898431148	937.1866590298368	975.9210280712495	1359.3725070607427	956.5538435505432
PFKFB4	chr3	48545000	48550000	5	145.07138107209252	152.87934365982494	118.59680645033761	145.75869600886082	612.0698438096924	978.7432404138499	140.57655679777898	795.4065421117712
PGM1	chr1	63615000	63620000	5	1044.5139437190662	1063.3908328904638	1029.6993312982254	1048.8910085343516	2103.8391237499686	2421.4581899512204	1046.6237791105268	2262.6486568505943
PHC2	chr1	33325000	33330000	5	167.49150360141593	129.87979638356808	150.68770701925249	130.03962094908172	1537.6624410783354	1741.3050153845022	144.52465698832955	1639.4837282314188
PHF21B	chr22	44895000	44900000	5	349.4901453100411	347.69903823517706	368.34772826928383	362.9677331985358	209.65928351492227	252.3057834284838	357.12616125325945	230.98253347170305
PHLDB2	chr3	111900000	111905000	5	578.9666935513511	584.4590837260564	553.9168489504003	555.883654386734	1342.012648858189	934.1522854007621	568.3065701536354	1138.0824671294756
PINX1	chr8	10730000	10735000	5	425.98232805714446	446.4618000685153	440.901068685961	447.27913579189646	225.6011184365638	216.7459079117176	440.1560831508793	221.1735131741407
PIPOX	chr17	29035000	29040000	5	1260.802184590186	1266.3280147397888	1197.1301168751725	1273.2450798421078	78.25991688805854	161.9949884652681	1249.3763490118138	120.12745267666332
PKD2	chr4	88065000	88070000	5	683.154321775854	786.0433510297194	757.6243047356861	844.543032757223	505.79094433208206	440.2651254456764	767.8412525746206	473.02803488887923
PKP1	chr1	201285000	201290000	5	48.796737269703854	35.17577818721636	37.67192675481312	25.722122825093088	82.60769004850624	6.208867153721077	36.841641259206604	44.40827860111366
PLCB4	chr20	9065000	9070000	5	166.1726728643969	160.99683093379792	196.73117305291296	184.34188024650047	381.6378663059645	273.75459723224753	177.06063927440206	327.696231769106
PLCG2	chr16	81750000	81755000	5	101.54996675046478	108.2331636529734	108.83001062501569	114.32054588930262	127.53467937313243	133.20842257074312	108.23342172943913	130.37155097193778
PLCXD2	chr3	111715000	111720000	5	5.275322948076092	8.117487273973005	12.55730891827104	8.574040941697696	8.212460414178983	6.773309622241175	8.631040020504459	7.492885018210079
PLEKHA1	chr10	122425000	122430000	5	506.43100301530484	454.57928734248827	419.9722204888426	543.0225929741874	462.7962986343215	404.14080746039014	481.00127595520576	433.46855304735584
PLEKHA6	chr1	204320000	204325000	5	213.65057939708174	223.23090003425764	209.288481971184	187.19989389373302	481.1535630895451	412.6074444881916	208.3424638240641	446.8805037888684
PLEKHA6	chr1	204285000	204290000	5	213.65057939708174	223.23090003425764	209.288481971184	187.19989389373302	481.1535630895451	412.6074444881916	208.3424638240641	446.8805037888684
PLPP7	chr9	131325000	131330000	5	NA	NA	NA	NA	NA	NA	NA	NA
PLXDC2	chr10	19930000	19935000	5	440.4894661643537	464.04968916212346	453.458377604232	485.86232002953614	50.240934298506716	51.928707103849014	460.9649632400613	51.08482070117786
POP4	chr19	29610000	29615000	5	447.08361984944884	443.75597097719094	463.22517342955393	432.98906755573364	316.421268899249	352.77654282506126	446.76345795298187	334.5989058621551
POU3F1	chr1	38045000	38050000	5	358.7219604691743	305.7586873196499	365.55721517633475	282.943351076024	8.695546320895394	6.208867153721077	328.24530351029574	7.452206737308236
PPFIBP1	chr12	27650000	27655000	5	328.3888535177367	335.5228073242175	361.37144553691104	368.68376049300093	2203.3548205335496	1700.665157651055	348.49171671796654	1952.0099890923025
PPIAP54	chr17	40365000	40370000	5	NA	NA	NA	NA	NA	NA	NA	NA
PPM1H	chr12	62785000	62790000	5	978.5724068681151	878.0415401347467	876.2211111860237	990.3017287660839	441.057432832083	278.8345794489284	930.7841967387424	359.9460061405057
PPP1R3B	chr8	9145000	9150000	5	758.3276737859383	749.5146582968408	739.4859696315168	771.6636847527926	2523.1576907798135	2695.777229651988	754.7479966167721	2609.4674602159007
PRDM16	chr1	3160000	3165000	5	1.318830737019023	5.4116581826486705	6.9762827323728	7.145034118081414	86.47237730223752	95.95521964841666	5.212951442530477	91.21379847532708
PREX1	chr20	48750000	48755000	5	497.1991878561717	587.1649128173807	517.6401787420618	537.3065656797223	4360.81647992904	4399.264599645644	534.8277112738341	4380.040539787342
PREX1	chr20	48795000	48800000	5	497.1991878561717	587.1649128173807	517.6401787420618	537.3065656797223	4360.81647992904	4399.264599645644	534.8277112738341	4380.040539787342
PREX1	chr20	48660000	48665000	5	497.1991878561717	587.1649128173807	517.6401787420618	537.3065656797223	4360.81647992904	4399.264599645644	534.8277112738341	4380.040539787342
PRKAR2B	chr7	107150000	107155000	5	506.43100301530484	492.460894621029	449.27260796480834	531.5905383852572	212.55779895522073	147.31948428374557	494.93876099659985	179.93864161948315
PRKCA	chr17	66420000	66425000	5	225.52005603025293	225.936729125582	227.42681707535328	231.4991054258378	181.15721501865403	102.16408680213773	227.5956769142565	141.66065091039587
PRKCB	chr16	24210000	24215000	5	341.577160887927	319.28783277627156	309.74695331735234	314.3815011955822	10.627889947761036	1.6933274055602938	321.2483620442833	6.160608676660665
PRKCB	chr16	24185000	24190000	5	341.577160887927	319.28783277627156	309.74695331735234	314.3815011955822	10.627889947761036	1.6933274055602938	321.2483620442833	6.160608676660665
PRKCH	chr14	61440000	61445000	5	72.53569053604626	68.99864182877054	59.99603149840608	68.59232753358157	154.10440424253503	123.61290060590146	67.53067284920111	138.85865242421823
PRKG1	chr10	52040000	52045000	5	309.9252231994704	281.4062254977309	293.0038747596576	290.0883851941054	27.535896682835414	10.159964433361763	293.60592716274107	18.84793055809859
PROM1	chr4	16075000	16080000	5	1809.4357711900996	1814.2584057329666	1785.9283794874368	1882.0019867026442	421.73399656342656	287.30121647672985	1822.9061357782869	354.5176065200782
PRXL2C	chr9	96640000	96645000	5	NA	NA	NA	NA	NA	NA	NA	NA
PTK2	chr8	140915000	140920000	5	2257.8382217765675	2343.247993086874	2219.853165441025	2360.719272614099	2453.5933202126503	1758.2382894401053	2295.4146632296415	2105.915804826378
PTK2B	chr8	27365000	27370000	5	63.303875376913105	51.41075273516237	86.50590588142272	54.30225929741874	62.801167873133394	81.2797154668941	63.88069832272923	72.04044167001375
PTPN14	chr1	214405000	214410000	5	1835.81238593048	1931.9619712055753	1887.7821073800797	2014.8996212989587	3503.338995507411	2533.2177987182	1917.6140214537734	3018.2783971128056
PTPN14	chr1	214445000	214450000	5	1835.81238593048	1931.9619712055753	1887.7821073800797	2014.8996212989587	3503.338995507411	2533.2177987182	1917.6140214537734	3018.2783971128056
PTPN14	chr1	214535000	214540000	5	1835.81238593048	1931.9619712055753	1887.7821073800797	2014.8996212989587	3503.338995507411	2533.2177987182	1917.6140214537734	3018.2783971128056
PTPRJ	chr11	48090000	48095000	5	524.8946333335712	531.6954164452319	530.1974876603329	557.3126612103503	742.9861245298397	760.3040050965719	536.0250496623715	751.6450648132059
PTPRN2	chr7	157785000	157790000	5	106.82528969854087	100.1156763790004	96.27270170674464	91.4564367114421	26.56972486940259	10.159964433361763	98.667526123932	18.364844651382178
PTPRN2	chr7	157715000	157720000	5	106.82528969854087	100.1156763790004	96.27270170674464	91.4564367114421	26.56972486940259	10.159964433361763	98.667526123932	18.364844651382178
PTPRN2	chr7	158410000	158415000	5	106.82528969854087	100.1156763790004	96.27270170674464	91.4564367114421	26.56972486940259	10.159964433361763	98.667526123932	18.364844651382178
PVT1	chr8	127790000	127795000	5	NA	NA	NA	NA	NA	NA	NA	NA
PVT1	chr8	127860000	127865000	5	NA	NA	NA	NA	NA	NA	NA	NA
PVT1	chr8	127810000	127815000	5	NA	NA	NA	NA	NA	NA	NA	NA
R3HDM2	chr12	57260000	57265000	5	381.14208299849764	412.6389364269611	364.1619586298602	324.38454896089615	806.2703783096895	935.8456128063225	370.58188175405377	871.057995558006
RAD51B	chr14	67940000	67945000	5	42.20258358460874	39.23452182420286	54.415005312507844	38.583184237639635	35.26527119029799	40.63985773344705	43.60882373973977	37.95256446187252
RALGPS1	chr9	127190000	127195000	5	370.5914371023455	361.22818369179873	299.9801574920304	370.11276731661724	156.51983377611708	208.84371335243625	350.47813640069796	182.68177356427668
RALGPS1	chr9	126970000	126975000	5	370.5914371023455	361.22818369179873	299.9801574920304	370.11276731661724	156.51983377611708	208.84371335243625	350.47813640069796	182.68177356427668
RAPGEF4	chr2	172810000	172815000	5	26.37661474038046	21.646632730594682	23.71936129006752	24.293116001476807	45.89316113805902	30.47989330008529	24.008931190629866	38.186527219072154
RASA3	chr13	114095000	114100000	5	531.4887870186662	588.5178273630429	548.3358227645022	594.4668386243736	505.3078584253656	328.505516678697	565.7023189426462	416.9066875520313
RASA3	chr13	114110000	114115000	5	531.4887870186662	588.5178273630429	548.3358227645022	594.4668386243736	505.3078584253656	328.505516678697	565.7023189426462	416.9066875520313
RASA3	chr13	114035000	114040000	5	531.4887870186662	588.5178273630429	548.3358227645022	594.4668386243736	505.3078584253656	328.505516678697	565.7023189426462	416.9066875520313
RASA3	chr13	114060000	114065000	5	531.4887870186662	588.5178273630429	548.3358227645022	594.4668386243736	505.3078584253656	328.505516678697	565.7023189426462	416.9066875520313
RASA3	chr13	114055000	114060000	5	531.4887870186662	588.5178273630429	548.3358227645022	594.4668386243736	505.3078584253656	328.505516678697	565.7023189426462	416.9066875520313
RASSF3	chr12	64620000	64625000	5	742.5017049417099	688.6335037420433	749.2527654568388	747.3705687513159	458.4485254738738	355.03431269914165	731.939635722977	406.74141908650773
RASSF3	chr12	64695000	64700000	5	742.5017049417099	688.6335037420433	749.2527654568388	747.3705687513159	458.4485254738738	355.03431269914165	731.939635722977	406.74141908650773
RBFA	chr18	80045000	80050000	5	340.25833015090797	344.9932091438527	382.3002937340295	358.68071272768697	322.21829977984595	288.43010141377005	356.55813643911927	305.324200596808
RBFADN	chr18	80045000	80050000	5	NA	NA	NA	NA	NA	NA	NA	NA
RBFOX2	chr22	35915000	35920000	5	2242.0122529323394	2324.307189447604	2337.054715344888	2415.0215319115177	3023.1516042312983	2517.977852068157	2329.598922409087	2770.5647281497277
RBFOX3	chr17	79290000	79295000	5	196.50577981583444	198.87843821233864	206.4979688782349	185.77088707011674	6.763202694029751	5.0799822166808815	196.9132684941312	5.9215924553553165
RBM19	chr12	113845000	113850000	5	925.8191773873542	952.451840146166	1005.9799700081578	890.2712511129441	696.6098774850643	761.9973325021323	943.6305596636555	729.3036049935984
RBPMS2	chr15	64760000	64765000	5	3352.4677335023566	3326.81686778327	3310.943784784131	3076.6516912458565	1311.0951508283388	1543.750151402468	3266.7200193289036	1427.4226511154034
RECQL5	chr17	75625000	75630000	5	411.4751899499352	455.9322018881505	394.8576026523005	388.6898560236289	413.5215361492476	522.6737258496107	412.7387126285038	468.09763099942916
REPS1	chr6	138985000	138990000	5	973.297083920039	970.0397292397741	962.7270170674465	981.7276878243862	675.8371834962586	580.2468576386607	971.9478795129114	628.0420205674596
RERE	chr1	8370000	8375000	5	1370.2651357627649	1308.268365655316	1248.7546090947312	1294.6801821963522	2980.156958533538	2489.191286173632	1305.492073177291	2734.6741223535846
RF00019	chr14	99580000	99585000	5	NA	NA	NA	NA	NA	NA	NA	NA
RF00019	chr11	43330000	43335000	5	NA	NA	NA	NA	NA	NA	NA	NA
RF00019	chr12	32395000	32400000	5	NA	NA	NA	NA	NA	NA	NA	NA
RHEB	chr7	151515000	151520000	5	1631.3936216925315	1551.7929838745063	1471.9956565306609	1516.176239856876	1242.9800379813248	1264.3511294850196	1542.8396254886436	1253.6655837331723
RIMKLB	chr12	8685000	8690000	5	1636.6689446406076	1545.0284111461954	1552.9205362261853	1553.3304172708993	768.1065916790931	793.6061107392577	1571.9870773209718	780.8563512091754
RIPOR2	chr6	24925000	24930000	5	NA	NA	NA	NA	NA	NA	NA	NA
RMI2	chr16	11355000	11360000	5	899.4425626469737	940.2756092352064	884.5926504648711	941.7154967631303	325.1168152201444	357.8565250417421	916.5065797775453	341.48667013094325
RN7SL392P	chr1	67655000	67660000	5	NA	NA	NA	NA	NA	NA	NA	NA
RNF144A	chr2	6985000	6990000	5	272.99796256293774	267.8770800411092	288.81810512023395	317.23951484281474	399.02895894775526	366.32316206954357	286.7331656417739	382.6760605086494
RNF220	chr1	44540000	44545000	5	1450.7138107209253	1471.9710256804383	1417.580651218153	1474.7350419720037	908.2015046268522	968.5832759804881	1453.75013239788	938.3923903036701
RNPEP	chr1	201980000	201985000	5	896.8049011729356	888.8648565000441	858.0827760818545	857.4040941697696	1113.5130149813267	1032.9297173917794	875.2891569811509	1073.221366186553
RNU6-418P	chr1	205595000	205600000	5	NA	NA	NA	NA	NA	NA	NA	NA
RNU6-751P	chr19	53745000	53750000	5	NA	NA	NA	NA	NA	NA	NA	NA
RNU6-769P	chr12	50630000	50635000	5	NA	NA	NA	NA	NA	NA	NA	NA
RNU6-982P	chr19	53745000	53750000	5	NA	NA	NA	NA	NA	NA	NA	NA
ROR1	chr1	63840000	63845000	5	1462.5832873540965	1542.322582054871	1522.224892203745	1513.3182262096434	346.3725951156665	204.89261607279556	1510.112246955589	275.63260559423105
ROR1	chr1	63915000	63920000	5	1462.5832873540965	1542.322582054871	1522.224892203745	1513.3182262096434	346.3725951156665	204.89261607279556	1510.112246955589	275.63260559423105
RPTOR	chr17	80630000	80635000	5	607.9809697657696	599.3411437283402	594.3792887981626	547.3096134450362	791.7778011081972	712.8908377408837	587.2527539343272	752.3343194245405
